GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
51162	EGFL7	EGF like domain multiple 7	-0.82	3.792
138311	DIPK1B	divergent protein kinase domain 1B	-0.827	5.281
414332	LCN10	lipocalin 10	-1.164	1.753
158062	LCN6	lipocalin 6	-1.604	3.465
7186	TRAF2	TNF receptor associated factor 2	0.575	4.636
2529	FUT7	fucosyltransferase 7	2.119	17.8
56654	NPDC1	neural proliferation, differentiation and control 1	-0.505	2.912
954	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	-0.532	2.322
89958	SAPCD2	suppressor APC domain containing 2	0.731	4.65
2902	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	-1.149	3.589
389816	LRRC26	leucine rich repeat containing 26	-2.307	6.604
375791	CYSRT1	cysteine rich tail 1	1.507	19.931
643596	RNF224	ring finger protein 224	0.599	1.422
100129722	STPG3-AS1	STPG3 antisense RNA 1	-1.435	3.977
441476	STPG3	sperm-tail PG-rich repeat containing 3	-1.225	4.288
54932	EXD3	exonuclease 3'-5' domain containing 3	-1.135	6.517
10811	NOXA1	NADPH oxidase activator 1	-0.831	2.648
377841	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	-1.338	2.329
375775	PNPLA7	patatin like phospholipase domain containing 7	-1.645	3.517
92715	DPH7	diphthamide biosynthesis 7	-0.653	5.194
643224	TUBBP5	tubulin beta pseudogene 5	1.359	2.785
100132403	FAM157B	family with sequence similarity 157 member B	1.495	5.533
112267861	LOC112267861		1.1	2.008
105376333	LOC105376333	uncharacterized LOC105376333	1.101	3.509
23185	LARP4B	La ribonucleoprotein 4B	0.559	8.651
23560	GTPBP4	GTP binding protein 4	0.657	4.686
105	ADARB2	adenosine deaminase RNA specific B2 (inactive)	0.915	1.63
105376342	LOC105376342	uncharacterized LOC105376342	6.035	24.195
5214	PFKP	phosphofructokinase, platelet	0.743	5.686
101927880	LINC02669	long intergenic non-protein coding RNA 2669	-1.531	4.856
107984192	LOC107984192	uncharacterized LOC107984192	-1.063	5.445
105376363	LOC105376363	uncharacterized LOC105376363	-1.732	4.834
101927904	LINC02660	long intergenic non-protein coding RNA 2660	-5.284	39.523
105376367	LOC105376367	uncharacterized LOC105376367	-2.393	5.085
83592	AKR1E2	aldo-keto reductase family 1 member E2	-1.035	7.109
8644	AKR1C3	aldo-keto reductase family 1 member C3	-0.763	2.625
79861	TUBAL3	tubulin alpha like 3	-1.595	3.065
51806	CALML5	calmodulin like 5	0.912	5.36
100132159	CALML3-AS1	CALML3 antisense RNA 1	0.997	4.983
810	CALML3	calmodulin like 3	1.417	5.232
3559	IL2RA	interleukin 2 receptor subunit alpha	2.745	10.12
5588	PRKCQ	protein kinase C theta	4.537	51.549
439949	PRKCQ-AS1	PRKCQ antisense RNA 1	3.334	35.041
3698	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	-1.466	2.277
2625	GATA3	GATA binding protein 3	-1.318	12.568
399717	GATA3-AS1	GATA3 antisense RNA 1	-2.023	6.982
107984204	LOC107984204		-1.211	5.629
105376397	LOC105376397	uncharacterized LOC105376397	-3.013	7.674
105376398	LOC105376398	uncharacterized LOC105376398	-3.878	28.843
105376399	LOC105376399	uncharacterized LOC105376399	-3.643	14.165
9712	USP6NL	USP6 N-terminal like	0.737	6.458
105376411	LOC105376411	uncharacterized LOC105376411	0.877	1.992
107984208	USP6NL-AS1	USP6NL antisense RNA 1	1.185	4.992
55526	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	0.796	7.066
83643	CCDC3	coiled-coil domain containing 3	-0.72	6.605
55388	MCM10	minichromosome maintenance 10 replication initiation factor	2.325	19.633
5264	PHYH	phytanoyl-CoA 2-hydroxylase	-1.383	19.877
55691	FRMD4A	FERM domain containing 4A	-0.665	6.084
105376426	LOC105376426	uncharacterized LOC105376426	-1.721	7.645
83641	FAM107B	family with sequence similarity 107 member B	-0.606	3.492
441549	CDNF	cerebral dopamine neurotrophic factor	-0.981	5.555
79723	SUV39H2	SUV39H2 histone lysine methyltransferase	0.667	4.855
107984210	LOC107984210	uncharacterized LOC107984210	-0.888	5.352
80013	MINDY3	MINDY lysine 48 deubiquitinase 3	-0.546	6.032
389941	C1QL3	complement C1q like 3	-1.677	5.287
8029	CUBN	cubilin	-1.136	9.413
1787	TRDMT1	tRNA aspartic acid methyltransferase 1	-0.555	7.003
7431	VIM	vimentin	-0.561	2.929
8027	STAM	signal transducing adaptor molecule	0.694	7.179
783	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	-1.245	11.057
221078	NSUN6	NOP2/Sun RNA methyltransferase 6	-0.785	7.348
221079	ARL5B	ADP ribosylation factor like GTPase 5B	1.535	18.437
10529	NEBL	nebulette	-0.505	2.628
387640	SKIDA1	SKI/DACH domain containing 1	-0.587	2.209
100130992	LOC100130992	uncharacterized LOC100130992	-1.313	6.144
23412	COMMD3	COMM domain containing 3	-0.723	8.474
100499489	LINC03027	long intergenic non-protein coding RNA 3027	-0.571	2.537
256815	C10orf67	chromosome 10 open reading frame 67	-1.735	6.93
220213	OTUD1	OTU deubiquitinase 1	-0.681	5.908
56243	KIAA1217	KIAA1217	1.417	15.878
219670	ENKUR	enkurin, TRPC channel interacting protein	4.323	11.014
53904	MYO3A	myosin IIIA	-2.846	11.722
54518	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	0.924	2.424
387644	FAM238C	family with sequence similarity 238 member C	0.576	1.354
10730	YME1L1	YME1 like 1 ATPase	0.717	8.327
84930	MASTL	microtubule associated serine/threonine kinase like	0.93	11.309
25805	BAMBI	BMP and activin membrane bound inhibitor	-0.92	4.974
220930	ZEB1-AS1	ZEB1 antisense RNA 1	-1.067	5.668
105376484	LOC105376484	uncharacterized LOC105376484	-2.213	8.078
94134	ARHGAP12	Rho GTPase activating protein 12	-0.501	8.367
107984219	LOC107984219	uncharacterized LOC107984219	0.708	1.595
3799	KIF5B	kinesin family member 5B	0.546	2.556
100505601	PARD3-DT	PARD3 divergent transcript	-1.454	2.383
107984220	LOC107984220	uncharacterized LOC107984220	-1.025	2.032
8325	FZD8	frizzled class receptor 8	-1.353	9.421
100616500	MIR4683	microRNA 4683	-0.927	1.669
57209	ZNF248	zinc finger protein 248	-0.7	3.849
107984224	LOC107984224		-1.256	5.441
219749	ZNF25	zinc finger protein 25	-0.579	4.94
158160	HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2	-0.552	2.073
100129482	ZNF37BP	zinc finger protein 37B, pseudogene	-0.669	3.982
105378268	LOC105378268	uncharacterized LOC105378268	-0.919	4.131
9790	BMS1	BMS1 ribosome biogenesis factor	0.519	4.301
221002	RASGEF1A	RasGEF domain family member 1A	-0.552	1.757
642819	ZNF487	zinc finger protein 487	-0.592	3.504
105379857	LOC105379857	replaced by ID 642819	-0.998	2.513
8187	ZNF239	zinc finger protein 239	-0.569	1.311
7580	ZNF32	zinc finger protein 32	-0.83	8.754
414197	ZNF32-AS1	ZNF32 antisense RNA 1	-0.942	8.522
10151	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	0.54	1.67
11067	DEPP1	DEPP autophagy regulator 1	-0.881	3.12
119016	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	-0.596	2.484
4477	MSMB	microseminoprotein beta	-4.895	33.233
653268	AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	-0.627	2.056
107984026	LOC107984026	replaced by ID 728005	-0.641	2.292
100132929	FAM25BP	protein FAM25	-0.971	2.603
643650	LINC00842	long intergenic non-protein coding RNA 842	-1.478	6.497
728643	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33	-0.7	2.217
107987152	LOC107987152		-0.924	5.017
5540	NPY4R	neuropeptide Y receptor Y4	-1.977	9.684
83849	SYT15	synaptotagmin 15	-0.545	1.857
101927699	SYT15-AS1	SYT15 antisense RNA 1	-0.906	2.283
26095	PTPN20	protein tyrosine phosphatase non-receptor type 20	-0.973	4.957
100133093	FAM25G	family with sequence similarity 25 member G	-1.048	2.386
113939912	BMS1P2-AGAP9	BMS1P2-AGAP9 readthrough	-0.898	3.704
642517	AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	-0.932	3.651
107987147	LOC107987147		-0.71	1.691
102724593	LOC102724593	uncharacterized LOC102724593	-1.084	2.481
102724488	SYT15B	synaptotagmin 15B	-0.796	2.956
100996758	NPY4R2	neuropeptide Y receptor Y4-2	-1.947	9.181
644054	FAM25C	family with sequence similarity 25 member C	-1.025	2.17
414224	AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene	-0.927	3.526
57705	WDFY4	WDFY family member 4	1.418	5.578
474354	LRRC18	leucine rich repeat containing 18	-0.933	1.379
2074	ERCC6	ERCC excision repair 6, chromatin remodeling factor	0.503	2.052
55753	OGDHL	oxoglutarate dehydrogenase L	1.846	1.813
8505	PARG	poly(ADP-ribose) glycohydrolase	0.519	2.894
414189	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	-0.626	2.517
100506939	PRKG1-AS1	PRKG1 antisense RNA 1	-1.016	2.07
22943	DKK1	dickkopf WNT signaling pathway inhibitor 1	-2.199	10.432
11130	ZWINT	ZW10 interacting kinetochore protein	1.305	18.426
7321	UBE2D1	ubiquitin conjugating enzyme E2 D1	0.577	5.122
728640	FAM133CP	family with sequence similarity 133, member A pseudogene	-1.447	3.973
84457	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like	-0.912	6.653
220965	FAM13C	family with sequence similarity 13 member C	-0.618	3.28
220963	SLC16A9	solute carrier family 16 member 9	1.62	4.836
107987153	LOC107987153		-1.166	1.659
983	CDK1	cyclin dependent kinase 1	1.775	15.765
9886	RHOBTB1	Rho related BTB domain containing 1	-0.961	4.721
84159	ARID5B	AT-rich interaction domain 5B	0.565	3.132
22891	ZNF365	zinc finger protein 365	-1.045	1.892
1959	EGR2	early growth response 2	-1.303	4.828
29982	NRBF2	nuclear receptor binding factor 2	0.781	11.326
101928913	LINC01515	long intergenic non-protein coding RNA 1515	-1.394	6.572
3189	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	-0.503	3.787
1763	DNA2	DNA replication helicase/nuclease 2	1.1	10.88
9188	DDX21	DExD-box helicase 21	1.212	8.169
5552	SRGN	serglycin	1.305	4.05
80201	HKDC1	hexokinase domain containing 1	-0.949	1.358
6865	TACR2	tachykinin receptor 2	-1.268	3.843
219738	FAM241B	family with sequence similarity 241 member B	-1.104	8.475
107984242	LOC107984242	uncharacterized LOC107984242	-0.915	2.136
84883	AIFM2	apoptosis inducing factor mitochondria associated 2	-0.616	2.613
64106	NPFFR1	neuropeptide FF receptor 1	-1.052	1.657
55222	LRRC20	leucine rich repeat containing 20	1.283	10.904
4838	NODAL	nodal growth differentiation factor	-0.958	1.825
27143	PALD1	phosphatase domain containing paladin 1	0.602	5.429
5551	PRF1	perforin 1	1.73	6.498
140766	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	-1.438	4.449
5092	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	-0.632	2.628
728978	UNC5B-AS1	UNC5B antisense RNA 1	-2.174	2.281
64072	CDH23	cadherin related 23	-0.633	2.611
414152	C10orf105	chromosome 10 open reading frame 105	-1.024	6.747
9469	CHST3	carbohydrate sulfotransferase 3	0.606	2.582
9806	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	2.167	18.705
119504	ANAPC16	anaphase promoting complex subunit 16	-0.729	12.381
10367	MICU1	mitochondrial calcium uptake 1	-0.553	10.775
90550	MCU	mitochondrial calcium uniporter	-0.786	7.657
25961	NUDT13	nudix hydrolase 13	-0.639	3.687
414245	DNAJC9-AS1	DNAJC9 and MRPS16 antisense RNA 1	-0.893	12.138
118491	CFAP70	cilia and flagella associated protein 70	-1.829	17.34
118490	MSS51	MSS51 mitochondrial translational activator	-0.577	1.857
159195	USP54	ubiquitin specific peptidase 54	-0.827	11.793
9632	SEC24C	SEC24 homolog C, COPII coat complex component	0.595	9.319
170384	FUT11	fucosyltransferase 11	0.587	3.128
5328	PLAU	plasminogen activator, urokinase	1.253	8.295
414236	C10orf55	chromosome 10 putative open reading frame 55	1.221	7.577
142891	SAMD8	sterile alpha motif domain containing 8	0.689	5.375
118881	COMTD1	catechol-O-methyltransferase domain containing 1	0.736	5.763
84858	ZNF503	zinc finger protein 503	0.999	8.881
100131213	ZNF503-AS2	ZNF503 antisense RNA 2	1.144	10.15
107984293	LOC107984293	uncharacterized LOC107984293	-0.852	1.885
3778	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	-0.936	7.21
11128	POLR3A	RNA polymerase III subunit A	0.521	4.24
6229	RPS24	ribosomal protein S24	-0.577	4.045
283050	ZMIZ1-AS1	ZMIZ1 antisense RNA 1	-0.858	2.048
10105	PPIF	peptidylprolyl isomerase F	1.275	7.691
143244	EIF5AL1	eukaryotic translation initiation factor 5A like 1	1.037	10.291
101929506	LOC101929506	uncharacterized LOC101929506	-1.306	7.722
219347	TMEM254-AS1	TMEM254 antisense RNA 1	-0.763	5.089
80195	TMEM254	transmembrane protein 254	-0.785	4.712
219348	PLAC9	placenta associated 9	-1.941	11.282
100130698	LOC100130698	uncharacterized LOC100130698	0.977	4.449
4143	MAT1A	methionine adenosyltransferase 1A	-1.777	5.341
10718	NRG3	neuregulin 3	-2.286	8.071
642934	CERNA2	competing endogenous lncRNA 2 for microRNA let-7b	5.341	76.979
387695	GPR15LG	G protein-coupled receptor 15 ligand	4.916	199.491
92211	CDHR1	cadherin related family member 1	-2.077	17.546
340745	LRIT2	leucine rich repeat, Ig-like and transmembrane domains 2	-2.935	25.907
105378407	LOC105378407	uncharacterized LOC105378407	-2.197	3.617
105378406	LOC105378406	uncharacterized LOC105378406	-2.988	4.875
11155	LDB3	LIM domain binding 3	-1.146	3.628
79812	MMRN2	multimerin 2	-0.525	4.432
6623	SNCG	synuclein gamma	-1.869	17.728
10974	ADIRF	adipogenesis regulatory factor	-1.512	13.719
119385	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	-1.503	16.214
105378410	LOC105378410	uncharacterized LOC105378410	-1.098	2.62
728130	NUTM2D	NUT family member 2D	-0.534	1.46
9562	MINPP1	multiple inositol-polyphosphate phosphatase 1	0.575	3.243
9060	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	1.183	7.105
101929727	LOC101929727	uncharacterized LOC101929727	-1.152	1.456
142910	LIPJ	lipase family member J	-0.621	2.301
100132116	ACTA2-AS1	ACTA2 antisense RNA 1	-1.33	4.083
59	ACTA2	actin alpha 2, smooth muscle	-1.21	3.519
9023	CH25H	cholesterol 25-hydroxylase	1.759	9.253
3988	LIPA	lipase A, lysosomal acid type	0.939	18.734
3433	IFIT2	interferon induced protein with tetratricopeptide repeats 2	1.077	6.544
3437	IFIT3	interferon induced protein with tetratricopeptide repeats 3	2.696	18.999
101926887	LOC101926887	uncharacterized LOC101926887	1.306	2.394
3434	IFIT1	interferon induced protein with tetratricopeptide repeats 1	2.759	13.89
107984251	LOC107984251	uncharacterized LOC107984251	1.192	6.704
24138	IFIT5	interferon induced protein with tetratricopeptide repeats 5	1.407	13.417
387700	SLC16A12	solute carrier family 16 member 12	-1.971	6.24
53354	PANK1	pantothenate kinase 1	0.515	1.965
9585	KIF20B	kinesin family member 20B	1.284	9.78
3363	HTR7	5-hydroxytryptamine receptor 7	2.768	18.507
143279	HECTD2	HECT domain E3 ubiquitin protein ligase 2	-0.531	4.942
80351	TNKS2	tankyrase 2	0.572	2.994
143282	FGFBP3	fibroblast growth factor binding protein 3	-0.66	5.058
3416	IDE	insulin degrading enzyme	0.656	3.223
3832	KIF11	kinesin family member 11	1.933	18.445
55165	CEP55	centrosomal protein 55	2.145	21.793
338557	FFAR4	free fatty acid receptor 4	-1.312	7.063
5950	RBP4	retinol binding protein 4	-2.725	3.448
5146	PDE6C	phosphodiesterase 6C	-0.801	1.415
118924	FRA10AC1	FRA10A associated CGG repeat 1	-0.688	5.608
266971	PIPSL	PIP5K1A and PSMD4 like (pseudogene)	0.551	3.895
51196	PLCE1	phospholipase C epsilon 1	-0.764	5.473
3070	HELLS	helicase, lymphoid specific	0.794	5.608
1562	CYP2C18	cytochrome P450 family 2 subfamily C member 18	0.509	1.648
1559	CYP2C9	cytochrome P450 family 2 subfamily C member 9	-1.119	1.621
10580	SORBS1	sorbin and SH3 domain containing 1	-1.356	8.278
29760	BLNK	B cell linker	0.888	8.412
7093	TLL2	tolloid like 2	1.628	3.259
56889	TM9SF3	transmembrane 9 superfamily member 3	0.602	6.615
118788	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	0.754	1.823
728658	RPL13AP5	ribosomal protein L13a pseudogene 5	-0.549	2.648
84458	LCOR	ligand dependent nuclear receptor corepressor	0.753	9.098
6585	SLIT1	slit guidance ligand 1	-0.859	1.411
100533184	ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate)	0.965	1.711
23401	FRAT2	FRAT regulator of WNT signaling pathway 2	0.506	6.115
23223	RRP12	ribosomal RNA processing 12 homolog	0.565	2.05
644215	LOC644215	uncharacterized LOC644215	-0.779	1.661
5223	PGAM1	phosphoglycerate mutase 1	1.178	19.447
26287	ANKRD2	ankyrin repeat domain 2	-2.284	8.956
55361	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	0.747	10.235
6425	SFRP5	secreted frizzled related protein 5	-2.433	13.738
401647	GOLGA7B	golgin A7 family member B	0.535	4.561
27291	R3HCC1L	R3H domain and coiled-coil containing 1 like	0.508	8.121
84171	LOXL4	lysyl oxidase like 4	-1.964	8.621
84795	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	-1.374	5.752
60495	HPSE2	heparanase 2 (inactive)	-1.301	2.458
26507	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	0.658	1.939
2805	GOT1	glutamic-oxaloacetic transaminase 1	0.95	6.844
107984261	LOC107984261		0.802	1.889
57089	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	1.864	14.823
1147	CHUK	component of inhibitor of nuclear factor kappa B kinase complex	0.501	3.17
6319	SCD	stearoyl-CoA desaturase	1.674	7.385
90271	OLMALINC	oligodendrocyte maturation-associated long intergenic non-coding RNA	-0.672	3.25
25956	SEC31B	SEC31 homolog B, COPII coat complex component	-0.808	2.212
57715	SEMA4G	semaphorin 4G	-1.057	4.201
79955	PDZD7	PDZ domain containing 7	-2.026	19.468
81855	SFXN3	sideroflexin 3	-0.963	7.687
107984262	LOC107984262	uncharacterized LOC107984262	1.005	3.589
101927396	LINC01514	long intergenic non-protein coding RNA 1514	-1.237	3.158
8945	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase	0.512	4.459
10360	NPM3	nucleophosmin/nucleoplasmin 3	0.51	2.363
100289509	KCNIP2-AS1	KCNIP2 antisense RNA 1	-1.444	4.428
30819	KCNIP2	potassium voltage-gated channel interacting protein 2	-1.37	5.546
8861	LDB1	LIM domain binding 1	-0.7	5.033
23082	PPRC1	PPARG related coactivator 1	0.575	2.294
9221	NOLC1	nucleolar and coiled-body phosphoprotein 1	0.916	7.367
83401	ELOVL3	ELOVL fatty acid elongase 3	-5.28	8.365
107984263	LOC107984263	uncharacterized LOC107984263	0.759	1.827
4791	NFKB2	nuclear factor kappa B subunit 2	0.534	2.671
5662	PSD	pleckstrin and Sec7 domain containing	-0.794	3.52
100505761	C10orf95-AS1	C10orf95 antisense RNA 1	-0.668	3.449
51684	SUFU	SUFU negative regulator of hedgehog signaling	0.646	6.249
403	ARL3	ADP ribosylation factor like GTPase 3	-0.906	12.196
54838	WBP1L	WW domain binding protein 1 like	0.593	6.22
1586	CYP17A1	cytochrome P450 family 17 subfamily A member 1	-1.49	3.728
100528007	BORCS7-ASMT	BORCS7-ASMT readthrough (NMD candidate)	-0.749	6.507
57412	AS3MT	arsenite methyltransferase	-1.22	6.057
22978	NT5C2	5'-nucleotidase, cytosolic II	0.703	10.872
9118	INA	internexin neuronal intermediate filament protein alpha	2.867	31.232
22984	PDCD11	programmed cell death 11	0.67	4.268
100505839	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1	2.278	36.479
9748	SLK	STE20 like kinase	0.575	2.925
80217	CFAP43	cilia and flagella associated protein 43	-1.527	6.231
119391	GSTO2	glutathione S-transferase omega 2	-0.71	8.182
85450	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	0.562	2.776
100505933	ADD3-AS1	ADD3 antisense RNA 1	-0.553	1.665
282996	RBM20	RNA binding motif protein 20	-1.499	5.404
27250	PDCD4	programmed cell death 4	-0.682	4.318
100616113	MIR4680	microRNA 4680	-0.665	4.604
92482	BBIP1	BBSome interacting protein 1	-0.82	13.31
105378485	LOC105378485	uncharacterized LOC105378485	-1.48	2.461
143187	VTI1A	vesicle transport through interaction with t-SNAREs 1A	0.631	7.828
6934	TCF7L2	transcription factor 7 like 2	-0.625	4.94
107984270	LOC107984270	uncharacterized LOC107984270	-1.552	3.355
4892	NRAP	nebulin related anchoring protein	1.543	3.097
840	CASP7	caspase 7	1.145	14.075
153	ADRB1	adrenoceptor beta 1	-1.681	3.149
84632	AFAP1L2	actin filament associated protein 1 like 2	1.74	27.316
105378494	LOC105378494	uncharacterized LOC105378494	-0.935	3.2
142940	TRUB1	TruB pseudouridine synthase family member 1	0.54	4.42
26033	ATRNL1	attractin like 1	1.46	2.882
2674	GFRA1	GDNF family receptor alpha 1	-0.774	4.538
105378499	HSPA12A-AS1	HSPA12A antisense RNA 1	-0.862	2.762
259217	HSPA12A	heat shock protein family A (Hsp70) member 12A	-0.556	2.514
387712	ENO4	enolase 4	-0.528	7.177
6571	SLC18A2	solute carrier family 18 member A2	-0.851	11.11
118987	PDZD8	PDZ domain containing 8	0.519	1.963
196047	EMX2OS	EMX2 opposite strand/antisense RNA	-1.278	9.626
2018	EMX2	empty spiracles homeobox 2	-1.566	18.444
143384	CACUL1	CDK2 associated cullin domain 1	0.782	18.151
8661	EIF3A	eukaryotic translation initiation factor 3 subunit A	0.647	3.659
105378512	LOC105378512	uncharacterized LOC105378512	0.658	3.823
9531	BAG3	BAG cochaperone 3	0.943	14.094
11196	SEC23IP	SEC23 interacting protein	0.573	7.392
196051	PLPP4	phospholipid phosphatase 4	-1.763	6.972
100130887	ATE1-AS1	ATE1 antisense RNA 1	-0.971	2.147
54780	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component	-0.589	7.438
118663	BTBD16	BTB domain containing 16	-2.976	11.521
105378526	LOC105378526		0.844	1.676
1755	DMBT1	deleted in malignant brain tumors 1	1.68	3.996
196792	FAM24B	family with sequence similarity 24 member B	-0.704	2.713
36	ACADSB	acyl-CoA dehydrogenase short/branched chain	-0.616	1.916
51363	CHST15	carbohydrate sulfotransferase 15	0.538	4.216
399818	EEF1AKMT2	EEF1A lysine methyltransferase 2	-0.549	7.229
283038	LOC283038	uncharacterized LOC283038	-0.833	2.741
107984277	LOC107984277		-1.524	3.452
399821	EDRF1-DT	EDRF1 divergent transcript	-0.81	2.236
105378552	LOC105378552	uncharacterized LOC105378552	-0.903	2.938
399823	FOXI2	forkhead box I2	-1.22	2.838
5791	PTPRE	protein tyrosine phosphatase receptor type E	1.022	13.494
4288	MKI67	marker of proliferation Ki-67	2.585	22.503
107984280	LINC02666	long intergenic non-protein coding RNA 2666	-0.963	5.212
387723	C10orf143	chromosome 10 open reading frame 143	-0.761	5.184
102724883	LOC102724883	uncharacterized LOC102724883	-0.852	2.277
105378561	LOC105378561	uncharacterized LOC105378561	-1.63	2.085
10539	GLRX3	glutaredoxin 3	0.685	7.642
282973	JAKMIP3	Janus kinase and microtubule interacting protein 3	-0.981	2.101
10570	DPYSL4	dihydropyrimidinase like 4	-1.219	2.073
80313	LRRC27	leucine rich repeat containing 27	-0.626	3.496
3632	INPP5A	inositol polyphosphate-5-phosphatase A	-0.923	25.081
84504	NKX6-2	NK6 homeobox 2	-1.101	22.68
85442	KNDC1	kinase non-catalytic C-lobe domain containing 1	0.845	1.443
101	ADAM8	ADAM metallopeptidase domain 8	1.069	4.876
105378575	LOC105378575	uncharacterized LOC105378575	0.61	2.564
107984284	LOC107984284	replaced by ID 105378575	1.138	6.48
1571	CYP2E1	cytochrome P450 family 2 subfamily E member 1	1.043	4.965
100133161	LINC01001	long intergenic non-protein coding RNA 1001	0.917	2.665
112268070	LOC112268070	uncharacterized LOC112268070	1.234	3.021
388572	LOC388572	replaced by ID 112268070	1.175	3.039
80162	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	-0.746	2.385
8519	IFITM1	interferon induced transmembrane protein 1	1.205	5.977
10410	IFITM3	interferon induced transmembrane protein 3	1.067	5.654
338707	B4GALNT4	beta-1,4-N-acetyl-galactosaminyltransferase 4	-0.811	3.148
11187	PKP3	plakophilin 3	1.03	24.365
338440	ANO9	anoctamin 9	-0.688	2.214
105376506	LOC105376506	uncharacterized LOC105376506	-0.839	1.838
256329	LMNTD2	lamin tail domain containing 2	-1.139	4.391
692247	LMNTD2-AS1	LMNTD2 antisense RNA 1	-1.356	4.173
143666	LOC143666	uncharacterized LOC143666	-0.813	5.882
3665	IRF7	interferon regulatory factor 7	2.21	20.448
53841	CDHR5	cadherin related family member 5	-1.574	2.297
1815	DRD4	dopamine receptor D4	-1.453	3.431
283232	TMEM80	transmembrane protein 80	-0.911	6.267
6888	TALDO1	transaldolase 1	0.501	2.553
171391	GATD1-DT	GATD1 divergent transcript	-1.037	5.077
283229	CRACR2B	calcium release activated channel regulator 2B	-2.561	18.133
7106	TSPAN4	tetraspanin 4	-0.675	4.194
727897	MUC5B	mucin 5B, oligomeric mucus/gel-forming	-1.883	4.502
54472	TOLLIP	toll interacting protein	0.877	16.541
105376512	LOC105376512	replaced by ID 54472	1.195	5.084
402778	IFITM10	interferon induced transmembrane protein 10	1.593	8.731
1509	CTSD	cathepsin D	1.389	64.269
105376517	LOC105376517	uncharacterized LOC105376517	2.677	6.87
90019	SYT8	synaptotagmin 8	-4.463	36.589
7136	TNNI2	troponin I2, fast skeletal type	-4.861	20.998
4046	LSP1	lymphocyte specific protein 1	-2.047	35.832
102465993	MIR7847	microRNA 7847	-1.621	16.949
7140	TNNT3	troponin T3, fast skeletal type	-3.403	28.345
103344718	HOTS		-1.72	4.655
283120	H19	H19 imprinted maternally expressed transcript	-1.663	4.691
100033819	MIR675	microRNA 675	-1.562	3.907
1028	CDKN1C	cyclin dependent kinase inhibitor 1C	-0.682	2.266
5003	SLC22A18AS	SLC22A18 antisense RNA	-1.141	9.41
5002	SLC22A18	solute carrier family 22 member 18	-1.138	11.507
7262	PHLDA2	pleckstrin homology like domain family A member 2	1.318	5.921
100852407	CARS1-AS1	CARS1 antisense RNA 1	0.592	4.554
650368	TSSC2	tumor suppressing subtransferable candidate 2 (pseudogene)	-1.172	6.572
105376526	LOC105376526	uncharacterized LOC105376526	-1.392	15.474
4928	NUP98	nucleoporin 98 and 96 precursor	0.66	5.528
391	RHOG	ras homolog family member G	0.868	8.355
6240	RRM1	ribonucleotide reductase catalytic subunit M1	0.94	12.802
6737	TRIM21	tripartite motif containing 21	1.035	9.164
85363	TRIM5	tripartite motif containing 5	0.776	4.74
10346	TRIM22	tripartite motif containing 22	2.381	18.16
84067	FHIP1B	FHF complex subunit HOOK interacting protein 1B	-0.824	6.516
887	CCKBR	cholecystokinin B receptor	-2.32	9.645
6609	SMPD1	sphingomyelin phosphodiesterase 1	0.791	17.376
322	APBB1	amyloid beta precursor protein binding family B member 1	-0.706	9.736
