GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
340371	NRBP2	nuclear receptor binding protein 2	1.14	2.44
5339	PLEC	plectin	0.718	1.908
54512	EXOSC4	exosome component 4	-0.732	3.52
1537	CYC1	cytochrome c1	-0.807	1.91
340390	WDR97	WD repeat domain 97	1.077	1.332
23246	BOP1	BOP1 ribosomal biogenesis factor	-0.535	1.478
90990	KIFC2	kinesin family member C2	0.813	1.482
8928	FOXH1	forkhead box H1	0.873	1.663
84988	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	0.554	2.806
101928953	LOC101928953	uncharacterized LOC101928953	0.694	1.489
2875	GPT	glutamic--pyruvic transaminase	1.581	2.504
90987	ZNF251	zinc finger protein 251	0.715	1.981
107986986	LOC107986986	uncharacterized LOC107986986	1.177	1.432
340385	ZNF517	zinc finger protein 517	0.825	2.901
100130027	LOC100130027	uncharacterized LOC100130027	0.817	2.919
28991	COMMD5	COMM domain containing 5	-0.593	2.187
100287171	WASHC1	WASH complex subunit 1	0.82	1.686
101929127	PGM5P3-AS1	PGM5P3 antisense RNA 1	1.157	2.709
10655	DMRT2	doublesex and mab-3 related transcription factor 2	1.002	1.482
6595	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0.599	4.019
9933	PUM3	pumilio RNA binding family member 3	-0.742	7.159
5991	RFX3	regulatory factor X3	0.662	3.73
6505	SLC1A1	solute carrier family 1 member 1	-0.774	1.453
55848	PLGRKT	plasminogen receptor with a C-terminal lysine	-0.811	1.794
29126	CD274	CD274 molecule	-2.994	17.724
158358	KIAA2026	KIAA2026	0.597	2.3
2731	GLDC	glycine decarboxylase	3.321	4.144
8777	MPDZ	multiple PDZ domain crumbs cell polarity complex component	0.698	3.312
4781	NFIB	nuclear factor I B	0.819	2.483
340481	ZDHHC21	zinc finger DHHC-type palmitoyltransferase 21	-1.127	8.213
158326	FREM1	FRAS1 related extracellular matrix 1	0.955	5.132
92949	ADAMTSL1	ADAMTS like 1	0.915	1.45
55667	DENND4C	DENN domain containing 4C	0.575	6.115
554202	MIR31HG	MIR31 host gene	-3.62	11.392
1029	CDKN2A	cyclin dependent kinase inhibitor 2A	-0.738	1.326
441389	LINC01239	long intergenic non-protein coding RNA 1239	2.291	5.193
79886	CAAP1	caspase activity and apoptosis inhibitor 1	-0.618	5.62
23586	RIGI	RNA sensor RIG-I	-1.051	4.565
54840	APTX	aprataxin	-0.516	1.728
364	AQP7	aquaporin 7	1.719	2.747
360	AQP3	aquaporin 3 (Gill blood group)	-0.922	3.491
65083	NOL6	nucleolar protein 6	-0.515	2.553
5646	PRSS3	serine protease 3	-2.678	9.741
51271	UBAP1	ubiquitin associated protein 1	-0.624	3.137
347240	KIF24	kinesin family member 24	-0.529	5.482
84688	C9orf24	chromosome 9 open reading frame 24	1.442	2.767
375704	ENHO	energy homeostasis associated	1.467	5.095
1271	CNTFR	ciliary neurotrophic factor receptor	1.808	8.517
3590	IL11RA	interleukin 11 receptor subunit alpha	0.707	2.871
10850	CCL27	C-C motif chemokine ligand 27	2.288	6.036
730098	LOC730098	uncharacterized LOC730098	0.518	1.667
107987063	LOC107987063		0.527	1.61
6363	CCL19	C-C motif chemokine ligand 19	-0.601	1.633
6366	CCL21	C-C motif chemokine ligand 21	-0.77	1.578
23349	PHF24	PHD finger protein 24	-0.617	1.459
25822	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	-0.515	1.648
7415	VCP	valosin containing protein	-0.619	3.812
30968	STOML2	stomatin like 2	-1.053	2.553
730112	FAM166B	family with sequence similarity 166 member B	1.757	5.219
7016	TESK1	testis associated actin remodelling kinase 1	0.59	2.235
27240	SIT1	signaling threshold regulating transmembrane adaptor 1	-1.077	2.023
768	CA9	carbonic anhydrase 9	1.683	4.322
7094	TLN1	talin 1	0.539	1.464
51754	TMEM8B	transmembrane protein 8B	1.284	8.132
646962	HRCT1	histidine rich carboxyl terminus 1	1.268	2.232
8434	RECK	reversion inducing cysteine rich protein with kazal motifs	1.138	5.538
1211	CLTA	clathrin light chain A	-0.599	1.535
10020	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	0.556	2.048
152006	RNF38	ring finger protein 38	0.54	3.208
9833	MELK	maternal embryonic leucine zipper kinase	-1.881	17.45
26267	FBXO10	F-box protein 10	-0.849	5.053
158234	TRMT10B	tRNA methyltransferase 10B	0.556	2.259
51010	EXOSC3	exosome component 3	-0.713	2.853
6461	SHB	SH2 domain containing adaptor protein B	-1.057	4.89
105376039	LOC105376039	uncharacterized LOC105376039	-1.339	3.073
253650	ANKRD18A	ankyrin repeat domain 18A	1.651	4.142
79937	CNTNAP3	contactin associated protein family member 3	1.376	4.179
105376050	LOC105376050	uncharacterized LOC105376050	0.793	1.594
107986997	LOC107986997	uncharacterized LOC107986997	0.512	1.532
644019	ZNG1F	Zn regulated GTPase metalloprotein activator 1F	-0.602	3.807
112268035	LOC112268035		0.89	2.122
728577	CNTNAP3B	contactin associated protein family member 3B	1.044	2.202
100289279	CNTNAP3C	contactin associated protein family member 3C	1.156	4.096
100132249	LOC100132249	uncharacterized LOC100132249	0.757	1.423
105379251	LOC105379251	replaced by ID 220869	1.05	2.075
441425	ANKRD20A3P	ankyrin repeat domain 20 family member A3, pseudogene	1.183	1.592
643827	CNTNAP3P2	CNTNAP3 pseudogene 2	1.195	2.778
445571	ZNG1C	Zn regulated GTPase metalloprotein activator 1C	-0.641	3.434
572558	PGM5-AS1	PGM5 antisense RNA 1	1.359	3.764
5239	PGM5	phosphoglucomutase 5	0.899	4.515
8395	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	1.103	2.145
9414	TJP2	tight junction protein 2	-0.5	1.657
9413	ENTREP1	endosomal transmembrane epsin interactor 1	1.689	5.157
105376074	LOC105376074		1.708	3.886
320	APBA1	amyloid beta precursor protein binding family A member 1	1.458	5.967
375743	PTAR1	protein prenyltransferase alpha subunit repeat containing 1	0.541	5.555
687	KLF9	KLF transcription factor 9	0.771	4.018
101927086	KLF9-DT	KLF9 divergent transcript	0.806	2.861
51104	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	-0.586	1.502
9615	GDA	guanine deaminase	-5.759	27.435
301	ANXA1	annexin A1	-0.798	1.79
6096	RORB	RAR related orphan receptor B	1.311	4.446
105376090	LOC105376090	uncharacterized LOC105376090	1.076	1.483
105376095	LOC105376095	uncharacterized LOC105376095	1.134	3.253
158471	PRUNE2	prune homolog 2 with BCH domain	1.064	4.467
29968	PSAT1	phosphoserine aminotransferase 1	-0.72	2.145
7088	TLE1	TLE family member 1, transcriptional corepressor	0.581	2.603
105376106	LOC105376106	uncharacterized LOC105376106	0.723	1.814
55582	KIF27	kinesin family member 27	0.65	2.942
64078	SLC28A3	solute carrier family 28 member 3	-1.483	5.613
105376116	SLC28A3-AS1	SLC28A3 regulatory antisense RNA 1	-1.619	5.205
4915	NTRK2	neurotrophic receptor tyrosine kinase 2	1.133	6.399
389765	LOC389765	kinesin family member 27 pseudogene	0.694	1.913
79670	TUT7	terminal uridylyl transferase 7	-0.522	2.681
1514	CTSL	cathepsin L	-1.14	6.667
53358	SHC3	SHC adaptor protein 3	0.585	2.109
1164	CKS2	CDC28 protein kinase regulatory subunit 2	-1.567	3.18
54769	DIRAS2	DIRAS family GTPase 2	2.367	6.924
6850	SYK	spleen associated tyrosine kinase	-0.863	10.384
4920	ROR2	receptor tyrosine kinase like orphan receptor 2	0.588	3.552
3376	IARS1	isoleucyl-tRNA synthetase 1	-0.648	6.405
4969	OGN	osteoglycin	2.001	7.97
4958	OMD	osteomodulin	0.919	1.704
1842	ECM2	extracellular matrix protein 2	0.578	1.4
64768	IPPK	inositol-pentakisphosphate 2-kinase	-0.79	13.257
138649	ANKRD19P	ankyrin repeat domain 19, pseudogene	1.128	2.387
4814	NINJ1	ninjurin 1	0.538	3.104
65268	WNK2	WNK lysine deficient protein kinase 2	1.809	4.281
445577	FAM120A2P	family with sequence similarity 120A2, pseudogene	0.926	2.206
107987097	LOC107987097	uncharacterized LOC107987097	0.954	2.363
5253	PHF2	PHD finger protein 2	0.508	1.986
107987098	LOC107987098		1.211	2.075
158257	LINC02603	long intergenic non-protein coding RNA 2603	0.791	1.486
169841	ZNF169	zinc finger protein 169	0.712	1.96
84909	AOPEP	aminopeptidase O (putative)	-0.51	1.832
407019	MIR27B	microRNA 27b	1.1	1.392
107987102	LOC107987102	uncharacterized LOC107987102	0.66	1.478
5727	PTCH1	patched 1	0.845	3.26
22927	HABP4	hyaluronan binding protein 4	0.598	3.955
158431	ZNF782	zinc finger protein 782	0.744	3.119
441454	PTMAP11	prothymosin alpha pseudogene 11	1.667	3.691
441457	NUTM2G	NUT family member 2G	1.044	2.123
57653	SUGT1P4-STRA6LP-CCDC180	SUGT1P4-STRA6LP-CCDC180 readthrough	1.18	3.655
100499484	SUGT1P4-STRA6LP	SUGT1P4-STRA6LP readthrough	1.024	2.263
100499483	CCDC180	coiled-coil domain containing 180	1.199	3.525
7111	TMOD1	tropomodulin 1	0.684	4.753
2304	FOXE1	forkhead box E1	-2.157	3.821
112268051	LOC112268051		1.288	1.889
9830	TRIM14	tripartite motif containing 14	-0.943	7.575
7464	CORO2A	coronin 2A	-0.582	1.951
203286	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	0.648	2.478
10952	SEC61B	SEC61 translocon subunit beta	-0.698	2.235
8013	NR4A3	nuclear receptor subfamily 4 group A member 3	-1.849	4.72
54534	MRPL50	mitochondrial ribosomal protein L50	-0.664	1.632
7743	ZNF189	zinc finger protein 189	0.615	1.399
116443	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	2.046	8.155
55335	NIPSNAP3B	nipsnap homolog 3B	0.804	2.941
55151	TMEM38B	transmembrane protein 38B	-0.689	1.432
58499	ZNF462	zinc finger protein 462	0.848	2.939
107987112	LOC107987112	uncharacterized LOC107987112	1.066	2.465
54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	0.99	4.179
107987113	LOC107987113		0.956	3.039
401546	C9orf152	chromosome 9 open reading frame 152	1.777	3.037
79987	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	0.803	1.532
4593	MUSK	muscle associated receptor tyrosine kinase	0.85	2.445
158399	ZNF483	zinc finger protein 483	1.215	4.502
22949	PTGR1	prostaglandin reductase 1	-0.863	6.1
548645	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25	-0.563	2.619
158401	SHOC1	shortage in chiasmata 1	-1.257	5.441
7357	UGCG	UDP-glucose ceramide glucosyltransferase	-1.589	7.061
9991	PTBP3	polypyrimidine tract binding protein 3	-0.647	5.228
100133204	HSDL2-AS1	HSDL2 antisense RNA 1	-0.968	2.003
57864	SLC46A2	solute carrier family 46 member 2	0.994	1.491
9128	PRPF4	pre-mRNA processing factor 4	-0.593	4.387
114987	WDR31	WD repeat domain 31	0.655	2.785
54107	POLE3	DNA polymerase epsilon 3, accessory subunit	-0.836	1.948
114991	ZNF618	zinc finger protein 618	0.657	1.862
113220	KIF12	kinesin family member 12	1.482	2.001
25861	WHRN	whirlin	1.165	3.016
9550	ATP6V1G1	ATPase H+ transporting V1 subunit G1	-0.992	2.496
944	TNFSF8	TNF superfamily member 8	-0.781	1.835
23245	ASTN2	astrotactin 2	1.001	5.069
105376239	LOC105376239	uncharacterized LOC105376239	-3.442	13.702
2934	GSN	gelsolin	0.85	4.378
2040	STOM	stomatin	-0.604	4.322
81571	MIR600HG	MIR600 host gene	1.279	2.478
105376270	LOC105376270	uncharacterized LOC105376270	0.948	1.348
347088	ADGRD2	adhesion G protein-coupled receptor D2	1.182	1.383
2649	NR6A1	nuclear receptor subfamily 6 group A member 1	0.79	1.968
169611	OLFML2A	olfactomedin like 2A	0.885	2.949
81873	ARPC5L	actin related protein 2/3 complex subunit 5 like	-0.985	6.678
10244	RABEPK	Rab9 effector protein with kelch motifs	-0.624	1.319
3309	HSPA5	heat shock protein family A (Hsp70) member 5	-0.62	3.211
5090	PBX3	PBX homeobox 3	0.716	6.916
4010	LMX1B	LIM homeobox transcription factor 1 beta	1.674	2.994
9649	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	0.689	2.043
84253	GARNL3	GTPase activating Rap/RanGAP domain like 3	0.759	3.847
138429	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase like 1	-0.915	3.393
114789	SLC25A25	solute carrier family 25 member 25	-0.695	1.626
80142	PTGES2	prostaglandin E synthase 2	-0.554	3.01
3934	LCN2	lipocalin 2	-4.497	7.339
1759	DNM1	dynamin 1	0.798	2.426
26995	TRUB2	TruB pseudouridine synthase family member 2	-0.795	4.158
105376286	LOC105376286	uncharacterized LOC105376286	-0.901	3.642
10999	SLC27A4	solute carrier family 27 member 4	-0.811	2.893
51148	CERCAM	cerebral endothelial cell adhesion molecule	0.749	3.422
6709	SPTAN1	spectrin alpha, non-erythrocytic 1	0.791	4.089
883	KYAT1	kynurenine aminotransferase 1	0.842	2.94
254295	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	1.243	8.632
389792	IER5L	immediate early response 5 like	-0.542	3.806
101929331	LINC02975	long intergenic non-protein coding RNA 2975	0.774	1.502
100506119	LINC01503	long intergenic non-protein coding RNA 1503	-1.413	7.28
28989	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	-0.642	3.138
10319	LAMC3	laminin subunit gamma 3	1.12	4.267
83543	AIF1L	allograft inflammatory factor 1 like	0.595	3.166
84726	PRRC2B	proline rich coiled-coil 2B	0.688	1.876
107987135	LOC107987135		0.805	2.517
10585	POMT1	protein O-mannosyltransferase 1	0.624	2.229
9442	MED27	mediator complex subunit 27	-0.552	3.001
84628	NTNG2	netrin G2	0.829	2.261
7248	TSC1	TSC complex subunit 1	0.599	1.732
1056	CEL	carboxyl ester lipase	1.122	1.681
29989	OBP2B	odorant binding protein 2B	1.754	2.351
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	1.708	4.565
6835	SURF2	surfeit 2	-0.675	3.3
6836	SURF4	surfeit 4	-0.55	2.993
169436	STKLD1	serine/threonine kinase like domain containing 1	0.549	1.687
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	0.787	1.481
8019	BRD3	bromodomain containing 3	0.671	4.607
6256	RXRA	retinoid X receptor alpha	0.784	3.567
2219	FCN1	ficolin 1	-1.263	6.365
29991	OBP2A	odorant binding protein 2A	1.368	1.483
102723971	LOC102723971	lipocalin 1-like	3.633	7.844
138151	NACC2	NACC family member 2	0.614	1.828
728489	DNLZ	DNL-type zinc finger	-0.67	2.235
6621	SNAPC4	small nuclear RNA activating complex polypeptide 4	0.542	1.363
101928483	NALT1	NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1	1.238	2.063
401561	LINC01451	long intergenic non-protein coding RNA 1451	1.293	2.63
138311	DIPK1B	divergent protein kinase domain 1B	0.712	2.916
84960	CCDC183	coiled-coil domain containing 183	0.601	1.423
20	ABCA2	ATP binding cassette subfamily A member 2	0.953	2.216
2529	FUT7	fucosyltransferase 7	-1.37	6.804
56654	NPDC1	neural proliferation, differentiation and control 1	0.606	2.191
101930307	LOC101930307		1.042	2.255
2902	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	1.529	2.196
389816	LRRC26	leucine rich repeat containing 26	1.961	2.618
8636	SSNA1	SS nuclear autoantigen 1	-0.601	1.763
375791	CYSRT1	cysteine rich tail 1	-2.153	5.173
54932	EXD3	exonuclease 3'-5' domain containing 3	1.048	2.778
10811	NOXA1	NADPH oxidase activator 1	1.041	2.331
375775	PNPLA7	patatin like phospholipase domain containing 7	1.544	3.436
643224	TUBBP5	tubulin beta pseudogene 5	-1.082	1.417
22982	DIP2C	disco interacting protein 2 homolog C	0.819	4.114
23560	GTPBP4	GTP binding protein 4	-0.767	7.14
105376342	LOC105376342	uncharacterized LOC105376342	-6.357	16.847
101927880	LINC02669	long intergenic non-protein coding RNA 2669	0.846	1.401
101927904	LINC02660	long intergenic non-protein coding RNA 2660	3.467	13.928
105376367	LOC105376367	uncharacterized LOC105376367	1.621	2.598
83592	AKR1E2	aldo-keto reductase family 1 member E2	0.615	1.676
1645	AKR1C1	aldo-keto reductase family 1 member C1	-0.575	1.508
51806	CALML5	calmodulin like 5	-1.713	4.476
100132159	CALML3-AS1	CALML3 antisense RNA 1	-1.441	3.941
810	CALML3	calmodulin like 3	-1.754	4.083
102723629	LINC02677	long intergenic non-protein coding RNA 2677	1.396	1.851
54522	ANKRD16	ankyrin repeat domain 16	0.52	2.297
3559	IL2RA	interleukin 2 receptor subunit alpha	-1.68	4.561
5588	PRKCQ	protein kinase C theta	-2.179	10.53
439949	PRKCQ-AS1	PRKCQ antisense RNA 1	-2.6	15.625
80760	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5	0.531	1.593
509	ATP5F1C	ATP synthase F1 subunit gamma	-0.608	1.307
2625	GATA3	GATA binding protein 3	1.316	6.733
399717	GATA3-AS1	GATA3 antisense RNA 1	1.486	3.332
107984204	LOC107984204		1.245	4.768
105376397	LOC105376397	uncharacterized LOC105376397	2.187	7.82
105376398	LOC105376398	uncharacterized LOC105376398	2.343	5.493
105376399	LOC105376399	uncharacterized LOC105376399	2.153	4.057
9712	USP6NL	USP6 N-terminal like	-0.729	4.462
107984208	USP6NL-AS1	USP6NL antisense RNA 1	-1.11	2.063
11164	NUDT5	nudix hydrolase 5	-0.561	3.084
8872	CDC123	cell division cycle 123	-0.665	2.464
83643	CCDC3	coiled-coil domain containing 3	0.701	3.002
55388	MCM10	minichromosome maintenance 10 replication initiation factor	-1.659	10.678
222389	BEND7	BEN domain containing 7	0.739	1.905
55691	FRMD4A	FERM domain containing 4A	1.146	7.852
51182	HSPA14	heat shock protein family A (Hsp70) member 14	-0.897	3.795
79723	SUV39H2	SUV39H2 histone lysine methyltransferase	-0.596	2.103
221060	RPP38-DT	RPP38 divergent transcript	-0.568	1.32
221061	FAM171A1	family with sequence similarity 171 member A1	0.75	2.404
8516	ITGA8	integrin subunit alpha 8	0.704	1.801
8029	CUBN	cubilin	0.977	3.739
338596	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	0.594	1.613
8027	STAM	signal transducing adaptor molecule	-0.719	6.133
783	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	1.333	4.187
221078	NSUN6	NOP2/Sun RNA methyltransferase 6	0.582	1.844
221079	ARL5B	ADP ribosylation factor like GTPase 5B	-1.274	5.757
10529	NEBL	nebulette	0.69	6.575
387640	SKIDA1	SKI/DACH domain containing 1	0.664	2.832
105376447	LOC105376447	uncharacterized LOC105376447	0.824	2.493
100130992	LOC100130992	uncharacterized LOC100130992	0.755	2.737
256815	C10orf67	chromosome 10 open reading frame 67	1.505	4.441
79896	THNSL1	threonine synthase like 1	0.704	3.265
219670	ENKUR	enkurin, TRPC channel interacting protein	-4.101	15.03
53904	MYO3A	myosin IIIA	1.838	3.269
23590	PDSS1	decaprenyl diphosphate synthase subunit 1	-0.728	4.644
84930	MASTL	microtubule associated serine/threonine kinase like	-0.673	7.585
22931	RAB18	RAB18, member RAS oncogene family	-0.548	1.655
25805	BAMBI	BMP and activin membrane bound inhibitor	0.816	1.797
1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	-0.973	3.106
220930	ZEB1-AS1	ZEB1 antisense RNA 1	0.658	2.329
6935	ZEB1	zinc finger E-box binding homeobox 1	0.599	2.026
8453	CUL2	cullin 2	-0.511	2.48
1390	CREM	cAMP responsive element modulator	-0.697	1.566
8325	FZD8	frizzled class receptor 8	1.323	4.158
57209	ZNF248	zinc finger protein 248	0.74	3.799
107984224	LOC107984224		1.248	2.341
7581	ZNF33A	zinc finger protein 33A	0.527	3.464
7587	ZNF37A	zinc finger protein 37A	0.774	2.236
441666	LOC441666	zinc finger protein 91 pseudogene	1.569	3.242
100129482	ZNF37BP	zinc finger protein 37B, pseudogene	0.984	2.265
7582	ZNF33B	zinc finger protein 33B	0.626	3.218
283028	LOC283028	uncharacterized LOC283028	0.894	3.121
5979	RET	ret proto-oncogene	0.868	3.406
11067	DEPP1	DEPP autophagy regulator 1	0.64	1.978
100287932	TIMM23	translocase of inner mitochondrial membrane 23	-0.753	2.056
4477	MSMB	microseminoprotein beta	2.053	3.809
643650	LINC00842	long intergenic non-protein coding RNA 842	1.165	3.499
728643	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33	0.929	1.883
107987152	LOC107987152		1.672	4.436
5540	NPY4R	neuropeptide Y receptor Y4	2.054	3.306
83849	SYT15	synaptotagmin 15	0.898	2.356
101927699	SYT15-AS1	SYT15 antisense RNA 1	0.71	1.347
113939912	BMS1P2-AGAP9	BMS1P2-AGAP9 readthrough	1.114	1.525
642517	AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	1.144	1.528
107987147	LOC107987147		1.361	2.477
642826	BMS1P2	BMS1 pseudogene 2	1.078	1.873
102724488	SYT15B	synaptotagmin 15B	1.237	2.692
100996758	NPY4R2	neuropeptide Y receptor Y4-2	2.094	3.674
57705	WDFY4	WDFY family member 4	-0.995	2.322
11130	ZWINT	ZW10 interacting kinetochore protein	-1.237	8.962
7321	UBE2D1	ubiquitin conjugating enzyme E2 D1	-0.672	4.478
728640	FAM133CP	family with sequence similarity 133, member A pseudogene	1.154	1.475
84457	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like	0.853	5.039
220965	FAM13C	family with sequence similarity 13 member C	0.673	5.556
220963	SLC16A9	solute carrier family 16 member 9	-1.459	3.965
983	CDK1	cyclin dependent kinase 1	-1.471	5.173
9886	RHOBTB1	Rho related BTB domain containing 1	0.628	3.145
29982	NRBF2	nuclear receptor binding factor 2	-1.198	5.489
101928913	LINC01515	long intergenic non-protein coding RNA 1515	0.966	1.828
1763	DNA2	DNA replication helicase/nuclease 2	-1.064	6.775
80312	TET1	tet methylcytosine dioxygenase 1	0.989	5.225
9188	DDX21	DExD-box helicase 21	-1.024	10.122
5552	SRGN	serglycin	-1.645	4.351
6865	TACR2	tachykinin receptor 2	0.954	2.706
107984242	LOC107984242	uncharacterized LOC107984242	0.807	1.396
55506	MACROH2A2	macroH2A.2 histone	-0.525	2.367
5464	PPA1	inorganic pyrophosphatase 1	-0.792	1.972
55222	LRRC20	leucine rich repeat containing 20	-1.773	7.657
4838	NODAL	nodal growth differentiation factor	0.943	1.633
5551	PRF1	perforin 1	-1.767	8.285
64072	CDH23	cadherin related 23	0.804	5.195
9806	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	-1.063	3.516
23234	DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	-0.845	6.011
51021	MRPS16	mitochondrial ribosomal protein S16	-0.638	2.147
118491	CFAP70	cilia and flagella associated protein 70	0.762	2.178
159195	USP54	ubiquitin specific peptidase 54	0.979	5.719
118487	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	-0.704	1.539
5328	PLAU	plasminogen activator, urokinase	-1.14	5.914
414236	C10orf55	chromosome 10 putative open reading frame 55	-1.086	7.298
132	ADK	adenosine kinase	-0.675	1.539
23522	KAT6B	lysine acetyltransferase 6B	0.652	3.685
142891	SAMD8	sterile alpha motif domain containing 8	-0.652	3.874
118881	COMTD1	catechol-O-methyltransferase domain containing 1	-1.031	5.115
100131213	ZNF503-AS2	ZNF503 antisense RNA 2	-0.936	5.557
283050	ZMIZ1-AS1	ZMIZ1 antisense RNA 1	0.84	3.122
10105	PPIF	peptidylprolyl isomerase F	-1.551	6.138
143244	EIF5AL1	eukaryotic translation initiation factor 5A like 1	-1.1	4.172
650623	BEND3P3	BEN domain containing 3 pseudogene 3	1.189	2.865
101060691	NUTM2B-AS1	NUTM2B antisense RNA 1	0.568	2.599
729262	NUTM2B	NUT family member 2B	1.252	5.755
283008	NUTM2E	NUT family member 2E	0.906	4.292
6441	SFTPD	surfactant protein D	-0.75	2.045
219347	TMEM254-AS1	TMEM254 antisense RNA 1	0.596	1.594
80195	TMEM254	transmembrane protein 254	0.747	1.434
100130698	LOC100130698	uncharacterized LOC100130698	-1.311	3.955
4143	MAT1A	methionine adenosyltransferase 1A	2.217	6.182
10718	NRG3	neuregulin 3	2.381	5.452
27069	GHITM	growth hormone inducible transmembrane protein	-0.635	1.519
642934	CERNA2	competing endogenous lncRNA 2 for microRNA let-7b	-4.646	24.036
387695	GPR15LG	G protein-coupled receptor 15 ligand	-5.94	40.632
92211	CDHR1	cadherin related family member 1	1.857	7.009
340745	LRIT2	leucine rich repeat, Ig-like and transmembrane domains 2	2.546	5.599
105378406	LOC105378406	uncharacterized LOC105378406	3.027	6.756
11155	LDB3	LIM domain binding 3	0.902	2.023
6623	SNCG	synuclein gamma	0.761	1.938
643161	FAM25A	family with sequence similarity 25 member A	-1.623	2.287
728118	NUTM2A	NUT family member 2A	0.927	2.579
728130	NUTM2D	NUT family member 2D	1.172	4.345
9562	MINPP1	multiple inositol-polyphosphate phosphatase 1	-0.944	2.865
9060	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-0.85	3.539
340654	LIPM	lipase family member M	-1.038	1.985
118932	ANKRD22	ankyrin repeat domain 22	-0.919	1.977
100132116	ACTA2-AS1	ACTA2 antisense RNA 1	0.661	1.344
9023	CH25H	cholesterol 25-hydroxylase	-1.349	5.244
3988	LIPA	lipase A, lysosomal acid type	-0.582	2.374
3433	IFIT2	interferon induced protein with tetratricopeptide repeats 2	-0.67	3.143
3437	IFIT3	interferon induced protein with tetratricopeptide repeats 3	-2.035	10.822
3434	IFIT1	interferon induced protein with tetratricopeptide repeats 1	-2.026	5.945
107984251	LOC107984251	uncharacterized LOC107984251	-1.419	5.361
24138	IFIT5	interferon induced protein with tetratricopeptide repeats 5	-1.144	7.823
3363	HTR7	5-hydroxytryptamine receptor 7	-2.124	6.499
143282	FGFBP3	fibroblast growth factor binding protein 3	0.631	2.181
9044	BTAF1	B-TFIID TATA-box binding protein associated factor 1	0.674	1.438
54708	MARCHF5	membrane associated ring-CH-type finger 5	-0.585	2.007
3416	IDE	insulin degrading enzyme	-0.849	1.906
3832	KIF11	kinesin family member 11	-0.972	4.312
55165	CEP55	centrosomal protein 55	-1.468	7.189
338557	FFAR4	free fatty acid receptor 4	1.027	3.659
118924	FRA10AC1	FRA10A associated CGG repeat 1	0.639	3.557
9211	LGI1	leucine rich glioma inactivated 1	1.421	2.718
51196	PLCE1	phospholipase C epsilon 1	0.701	1.937
1562	CYP2C18	cytochrome P450 family 2 subfamily C member 18	-1.005	2.518
142827	ACSM6	acyl-CoA synthetase medium chain family member 6	4.004	2.669
10580	SORBS1	sorbin and SH3 domain containing 1	0.963	2.496
387707	CC2D2B	coiled-coil and C2 domain containing 2B	0.856	1.864
29760	BLNK	B cell linker	-0.835	8.371
5223	PGAM1	phosphoglycerate mutase 1	-1.222	6.478
26287	ANKRD2	ankyrin repeat domain 2	1.27	1.58
118812	MORN4	MORN repeat containing 4	0.666	2.507
55361	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	-0.602	2.748
6425	SFRP5	secreted frizzled related protein 5	2.585	15.639
55118	CRTAC1	cartilage acidic protein 1	-0.885	1.575
84171	LOXL4	lysyl oxidase like 4	1.147	4.793
84795	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	1.012	2.283
101927300	GOT1-DT	GOT1 divergent transcript	1.119	3.469
81894	SLC25A28	solute carrier family 25 member 28	-0.53	2.949
57089	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	-1.001	4.342
