GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
105376617	LOC105376617	uncharacterized LOC105376617	0.896	2.364
25841	ABTB2	ankyrin repeat and BTB domain containing 2	0.832	3.816
102723539	LOC102723539		1.146	4.263
847	CAT	catalase	0.524	2.648
26298	EHF	ETS homologous factor	-1.547	14.946
6506	SLC1A2	solute carrier family 1 member 2	0.878	1.804
25891	PAMR1	peptidase domain containing associated with muscle regeneration 1	1.186	4.612
57689	LRRC4C	leucine rich repeat containing 4C	1.434	4.03
60529	ALX4	ALX homeobox 4	0.861	1.927
90139	TSPAN18	tetraspanin 18	0.768	4.99
9537	TP53I11	tumor protein p53 inducible protein 11	0.721	6.232
56981	PRDM11	PR/SET domain 11	0.635	4.003
8534	CHST1	carbohydrate sulfotransferase 1	-0.83	1.815
1408	CRY2	cryptochrome circadian regulator 2	1.073	10.969
9479	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	1.058	5.525
9409	PEX16	peroxisomal biogenesis factor 16	0.55	1.489
90993	CREB3L1	cAMP responsive element binding protein 3 like 1	0.683	1.643
1132	CHRM4	cholinergic receptor muscarinic 4	2.247	8.745
100507401	LRP4-AS1	LRP4 antisense RNA 1	1.166	3.891
4038	LRP4	LDL receptor related protein 4	0.936	3.536
10062	NR1H3	nuclear receptor subfamily 1 group H member 3	0.719	2.356
5702	PSMC3	proteasome 26S subunit, ATPase 3	-0.564	3.111
4722	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	-0.537	1.489
399888	FAM180B	family with sequence similarity 180 member B	1.307	7.932
114900	C1QTNF4	C1q and TNF related 4	0.752	1.768
2346	FOLH1	folate hydrolase 1	-1.126	3.649
219527	LRRC55	leucine rich repeat containing 55	-2.504	9.813
8501	SLC43A1	solute carrier family 43 member 1	0.503	2.398
26519	TIMM10	translocase of inner mitochondrial membrane 10	-0.76	1.969
9246	UBE2L6	ubiquitin conjugating enzyme E2 L6	-1.786	17.616
219541	MED19	mediator complex subunit 19	-0.609	1.83
280636	SELENOH	selenoprotein H	-0.622	1.924
643376	BTBD18	BTB domain containing 18	1.029	2.076
9404	LPXN	leupaxin	-0.53	3.706
1270	CNTF	ciliary neurotrophic factor	0.871	2.644
92292	GLYATL1	glycine-N-acyltransferase like 1	1.836	3.646
374393	FAM111B	FAM111 trypsin like peptidase B	-1.366	9.546
23220	DTX4	deltex E3 ubiquitin ligase 4	1.493	5.709
54948	MRPL16	mitochondrial ribosomal protein L16	-0.62	4.08
6947	TCN1	transcobalamin 1	-7.167	35.453
64231	MS4A6A	membrane spanning 4-domains A6A	-0.655	1.585
58475	MS4A7	membrane spanning 4-domains A7	-0.816	2.684
931	MS4A1	membrane spanning 4-domains A1	-2.012	4.115
79080	CCDC86	coiled-coil domain containing 86	0.589	1.424
11251	PTGDR2	prostaglandin D2 receptor 2	0.925	2.447
22917	ZP1	zona pellucida glycoprotein 1	3.193	2.7
923	CD6	CD6 molecule	-0.772	2.116
105369325	LOC105369325	uncharacterized LOC105369325	-0.681	1.376
921	CD5	CD5 molecule	-0.927	2.622
54949	SDHAF2	succinate dehydrogenase complex assembly factor 2	-0.511	2.043
220004	PPP1R32	protein phosphatase 1 regulatory subunit 32	1.082	2.906
390205	LRRC10B	leucine rich repeat containing 10B	2.404	6.433
9066	SYT7	synaptotagmin 7	1.007	2.536
747	DAGLA	diacylglycerol lipase alpha	0.678	1.881
745	MYRF	myelin regulatory factor	-1.074	2.4
746	TMEM258	transmembrane protein 258	-0.542	1.676
693196	MIR611	microRNA 611	-0.576	1.815
3992	FADS1	fatty acid desaturase 1	2.444	2.784
9415	FADS2	fatty acid desaturase 2	2.664	2.185
3995	FADS3	fatty acid desaturase 3	0.677	2.121
107984334	LOC107984334	uncharacterized LOC107984334	0.588	1.882
4246	SCGB2A1	secretoglobin family 2A member 1	1.884	3.239
10647	SCGB1D2	secretoglobin family 1D member 2	1.475	1.696
79026	AHNAK	AHNAK nucleoprotein	0.906	6.505
79081	LBHD1	LBH domain containing 1	-1.007	4.881
102288414	C11orf98	chromosome 11 open reading frame 98	-1.141	5.482
692158	SNORA57	small nucleolar RNA, H/ACA box 57	-0.902	2.309
790955	UQCC3	ubiquinol-cytochrome c reductase complex assembly factor 3	-0.639	2.237
5436	POLR2G	RNA polymerase II subunit G	-0.784	2.914
105369332	STX5-DT	STX5 divergent transcript	-0.548	5.824
23642	SNHG1	small nucleolar RNA host gene 1	-0.772	3.771
9303	SNORD25	small nucleolar RNA, C/D box 25	-0.747	1.32
1128	CHRM1	cholinergic receptor muscarinic 1	1.324	5.278
105369333	LOC105369333	uncharacterized LOC105369333	1.081	3.289
117245	PLAAT5	phospholipase A and acyltransferase 5	0.879	2.016
5920	PLAAT4	phospholipase A and acyltransferase 4	-0.83	2.639
10313	RTN3	reticulon 3	0.531	3.27
65998	ZFTA	zinc finger translocation associated	0.898	4.819
283248	RCOR2	REST corepressor 2	1.006	2.769
55611	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1	-0.561	3.99
28992	MACROD1	mono-ADP ribosylhydrolase 1	0.702	5.187
23769	FLRT1	fibronectin leucine rich transmembrane protein 1	1.399	6.472
83706	FERMT3	FERM domain containing kindlin 3	-0.655	3.815
84304	NUDT22	nudix hydrolase 22	-0.683	7.541
105369340	PPP1R14B-AS1	PPP1R14B antisense RNA 1	-1.654	9.117
25858	CATSPERZ	catsper channel auxiliary subunit zeta	-0.879	1.41
51504	TRMT112	tRNA methyltransferase activator subunit 11-2	-0.819	3.495
25824	PRDX5	peroxiredoxin 5	-0.607	1.571
283234	CCDC88B	coiled-coil domain containing 88B	-0.746	1.914
8986	RPS6KA4	ribosomal protein S6 kinase A4	-0.894	6.339
5837	PYGM	glycogen phosphorylase, muscle associated	0.774	3.013
55561	CDC42BPG	CDC42 binding protein kinase gamma	0.507	1.334
116071	BATF2	basic leucine zipper ATF-like transcription factor 2	-3.151	13.212
113130	CDCA5	cell division cycle associated 5	-1.299	10.223
23649	POLA2	DNA polymerase alpha 2, accessory subunit	-0.64	10.138
83786	FRMD8	FERM domain containing 8	-0.824	8.537
10534	ZNRD2	zinc ribbon domain containing 2	-0.731	4.044
254102	EHBP1L1	EH domain binding protein 1 like 1	-0.538	1.924
5017	OVOL1	ovo like transcriptional repressor 1	-0.929	3.725
254122	SNX32	sorting nexin 32	-0.591	4.64
1072	CFL1	cofilin 1	-0.582	3.923
1521	CTSW	cathepsin W	-0.7	2.089
8061	FOSL1	FOS like 1, AP-1 transcription factor subunit	-2.842	9.437
1474	CST6	cystatin E/M	2.086	9.019
117144	CATSPER1	cation channel sperm associated 1	-0.849	2.683
57124	CD248	CD248 molecule	0.758	2.235
25855	BRMS1	BRMS1 transcriptional repressor and anoikis regulator	-0.528	5.946
3177	SLC29A2	solute carrier family 29 member 2	0.547	1.446
65003	MRPL11	mitochondrial ribosomal protein L11	-0.928	3.718
582	BBS1	Bardet-Biedl syndrome 1	0.663	4.287
8722	CTSF	cathepsin F	0.709	5.906
100526737	RBM14-RBM4	RBM14-RBM4 readthrough	-0.543	3.29
5091	PC	pyruvate carboxylase	0.933	2.276
29984	RHOD	ras homolog family member D	-0.733	2.232
5883	RAD9A	RAD9 checkpoint clamp component A	-0.558	6.134
5499	PPP1CA	protein phosphatase 1 catalytic subunit alpha	-0.791	3.83
374403	TBC1D10C	TBC1 domain family member 10C	-0.721	1.69
57571	CARNS1	carnosine synthase 1	0.997	3.506
6199	RPS6KB2	ribosomal protein S6 kinase B2	-1.173	10.172
5790	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	-1.281	8.302
10263	CDK2AP2	cyclin dependent kinase 2 associated protein 2	-0.608	4.488
2950	GSTP1	glutathione S-transferase pi 1	-1.093	8.182
254552	NUDT8	nudix hydrolase 8	-1.019	6.176
1119	CHKA	choline kinase alpha	0.57	1.656
4041	LRP5	LDL receptor related protein 5	0.666	3.917
107984343	LOC107984343	uncharacterized LOC107984343	2.773	1.86
51083	GAL	galanin and GMAP prepropeptide	2.98	2.262
105369364	LINC02701	long intergenic non-protein coding RNA 2701	0.877	1.973
219927	MRPL21	mitochondrial ribosomal protein L21	-0.606	2.252
26579	MYEOV	myeloma overexpressed	1.885	4.839
105369370	LOC105369370	uncharacterized LOC105369370	1.725	2.733
105379407	LINC02747	long intergenic non-protein coding RNA 2747	2.69	12.21
595	CCND1	cyclin D1	1.287	11.018
55107	ANO1	anoctamin 1	0.767	2.907
22941	SHANK2	SH3 and multiple ankyrin repeat domains 2	1.123	2.985
1717	DHCR7	7-dehydrocholesterol reductase	1.453	3.086
4926	NUMA1	nuclear mitotic apparatus protein 1	0.715	3.574
100128494	LOC100128494	uncharacterized LOC100128494	0.765	3.352
2348	FOLR1	folate receptor alpha	1.376	4.334
3636	INPPL1	inositol polyphosphate phosphatase like 1	1.042	3.84
5138	PDE2A	phosphodiesterase 2A	0.512	1.934
10809	STARD10	StAR related lipid transfer domain containing 10	-0.561	2.264
105369380	LOC105369380		0.727	2.977
107984421	LOC107984421	uncharacterized LOC107984421	0.858	1.692
5029	P2RY2	purinergic receptor P2Y2	-0.538	2.637
5031	P2RY6	pyrimidinergic receptor P2Y6	-0.618	1.963
9828	ARHGEF17	Rho guanine nucleotide exchange factor 17	0.523	1.933
84957	RELT	RELT TNF receptor	-0.917	5.219
58473	PLEKHB1	pleckstrin homology domain containing B1	1.193	6.301
51642	MRPL48	mitochondrial ribosomal protein L48	-0.647	1.949
51287	COA4	cytochrome c oxidase assembly factor 4 homolog	-0.762	3.609
4135	MAP6	microtubule associated protein 6	1.391	5.339
80168	MOGAT2	monoacylglycerol O-acyltransferase 2	1.992	1.409
84649	DGAT2	diacylglycerol O-acyltransferase 2	1.753	3.241
100506127	GVQW3	GVQW motif containing 3	0.783	1.728
25987	TSKU	tsukushi, small leucine rich proteoglycan	0.62	3.123
101928837	TSKU-AS1	TSKU antisense RNA 1	0.909	1.621
1207	CLNS1A	chloride nucleotide-sensitive channel 1A	-0.563	2.212
28971	AAMDC	adipogenesis associated Mth938 domain containing	0.681	3.289
7069	THRSP	thyroid hormone responsive	2.738	2.749
9846	GAB2	GRB2 associated binding protein 2	0.58	2.782
26011	TENM4	teneurin transmembrane protein 4	0.77	1.556
220042	DDIAS	DNA damage induced apoptosis suppressor	-1.539	14.948
1740	DLG2	discs large MAGUK scaffold protein 2	0.557	2.066
55863	TMEM126B	transmembrane protein 126B	-0.641	1.647
84233	TMEM126A	transmembrane protein 126A	-0.852	3.162
51501	HIKESHI	heat shock protein nuclear import factor hikeshi	-0.895	2.999
107984427	ME3-DT	ME3 divergent transcript	0.643	1.352
11098	PRSS23	serine protease 23	-0.586	2.999
107984428	LOC107984428	uncharacterized LOC107984428	0.897	2.517
8322	FZD4	frizzled class receptor 4	0.805	3.509
23682	RAB38	RAB38, member RAS oncogene family	-1.177	5.917
1075	CTSC	cathepsin C	-1.051	9.008
107984363	LOC107984363		1.12	2.884
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	0.549	1.587
26973	CHORDC1	cysteine and histidine rich domain containing 1	-0.846	3.582
120114	FAT3	FAT atypical cadherin 3	1.479	3.434
692063	SNORA32	small nucleolar RNA, H/ACA box 32	-0.842	1.484
677805	SNORA18	small nucleolar RNA, H/ACA box 18	-0.627	1.564
677822	SNORA40	small nucleolar RNA, H/ACA box 40	-0.885	4.052
341208	HEPHL1	hephaestin like 1	-5.795	17.736
24145	PANX1	pannexin 1	-0.965	7.519
51503	CWC15	CWC15 spliceosome associated protein homolog	-0.707	2.435
84441	MAML2	mastermind like transcriptional coactivator 2	0.879	5.46
5241	PGR	progesterone receptor	0.881	3.486
57562	CEP126	centrosomal protein 126	0.748	3.575
330	BIRC3	baculoviral IAP repeat containing 3	-1.165	5.825
114908	TMEM123	transmembrane protein 123	-0.625	4.384
4312	MMP1	matrix metallopeptidase 1	-4.557	9.952
4321	MMP12	matrix metallopeptidase 12	-3.48	7.04
84259	DCUN1D5	defective in cullin neddylation 1 domain containing 5	-0.885	5.262
79659	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	0.518	2.502
80310	PDGFD	platelet derived growth factor D	0.885	2.347
837	CASP4	caspase 4	-1.338	11.064
834	CASP1	caspase 1	-1.108	10.65
114769	CARD16	caspase recruitment domain family member 16	-0.84	4.875
440067	CASP1P2	caspase 1 pseudogene 2	-0.78	1.473
440068	CARD17P	caspase recruitment domain family member 17, pseudogene	-1.565	5.979
2893	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	1.103	4.003
38	ACAT1	acetyl-CoA acetyltransferase 1	0.512	3.326
85463	ZC3H12C	zinc finger CCCH-type containing 12C	-0.699	8.152
57569	ARHGAP20	Rho GTPase activating protein 20	0.8	3.087
399948	COLCA1	colorectal cancer associated 1	0.679	1.779
23235	SIK2	salt inducible kinase 2	0.636	4.654
1410	CRYAB	crystallin alpha B	0.891	6.361
100528019	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)	0.761	2.479
91894	C11orf52	chromosome 11 open reading frame 52	1.068	4.056
85458	DIXDC1	DIX domain containing 1	0.838	4.7
26521	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B	-1.267	3.66
6392	SDHD	succinate dehydrogenase complex subunit D	-0.504	1.537
83875	BCO2	beta-carotene oxygenase 2	-0.749	1.97
5805	PTS	6-pyruvoyltetrahydropterin synthase	-1.164	4.394
283140	LINC02762	long intergenic non-protein coding RNA 2762	0.78	1.385
107984387	LOC107984387		0.856	1.947
4684	NCAM1	neural cell adhesion molecule 1	1.362	6.02
255239	ANKK1	ankyrin repeat and kinase domain containing 1	-0.744	2.76
80975	TMPRSS5	transmembrane serine protease 5	1.215	2.667
3359	HTR3A	5-hydroxytryptamine receptor 3A	-4.571	9.194
7704	ZBTB16	zinc finger and BTB domain containing 16	1.356	3.569
4837	NNMT	nicotinamide N-methyltransferase	-0.934	2.171
25996	REXO2	RNA exonuclease 2	-0.677	2.733
8882	ZPR1	ZPR1 zinc finger	-0.788	5.523
51092	SIDT2	SID1 transmembrane family member 2	0.755	3.966
100652768	LOC100652768	uncharacterized LOC100652768	0.539	2.224
57453	DSCAML1	DS cell adhesion molecule like 1	1.046	1.533
100533181	FXYD6-FXYD2	FXYD6-FXYD2 readthrough	1.095	9.05
53826	FXYD6	FXYD domain containing ion transport regulator 6	1.149	9.176
84000	TMPRSS13	transmembrane serine protease 13	-0.696	3.156
3587	IL10RA	interleukin 10 receptor subunit alpha	-0.54	1.989
100526771	SMIM35	small integral membrane protein 35	-0.661	3.571
56649	TMPRSS4	transmembrane serine protease 4	-2.314	17.973
6327	SCN2B	sodium voltage-gated channel beta subunit 2	0.734	2.168
120425	JAML	junction adhesion molecule like	-0.642	4.057
196264	MPZL3	myelin protein zero like 3	-1.069	4.409
10205	MPZL2	myelin protein zero like 2	-2.196	27.663
916	CD3E	CD3 epsilon subunit of T-cell receptor complex	-1.114	4.777
915	CD3D	CD3 delta subunit of T-cell receptor complex	-1.703	12.097
917	CD3G	CD3 gamma subunit of T-cell receptor complex	-1.22	4.947
10632	ATP5MG	ATP synthase membrane subunit g	-0.662	1.563
4297	KMT2A	lysine methyltransferase 2A	0.753	2.815
101929089	TTC36-AS1	TTC36 and KMT2A antisense RNA 1	0.721	3.781
143941	TTC36	tetratricopeptide repeat domain 36	0.883	1.945
56912	IFT46	intraflagellar transport 46	-0.771	2.632
23187	PHLDB1	pleckstrin homology like domain family B member 1	0.891	4.034
102466719	MIR6716	microRNA 6716	0.872	3.22
11181	TREH	trehalase	0.711	2.352
3145	HMBS	hydroxymethylbilane synthase	-1.019	7.697
3014	H2AX	H2A.X variant histone	-1.193	10.525
1798	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1	-0.529	3.644
64137	ABCG4	ATP binding cassette subfamily G member 4	-4.618	21.599
79671	NLRX1	NLR family member X1	-0.696	2.804
7070	THY1	Thy-1 cell surface antigen	-0.827	2.697
107984398	LOC107984398	uncharacterized LOC107984398	-0.575	3.004
102724301	NECTIN1-DT	NECTIN1 divergent transcript	-1.263	4.588
23365	ARHGEF12	Rho guanine nucleotide exchange factor 12	0.59	2.653
6309	SC5D	sterol-C5-desaturase	0.867	1.868
6653	SORL1	sortilin related receptor 1	0.885	2.899
56253	CRTAM	cytotoxic and regulatory T cell molecule	-1.323	3.599
3312	HSPA8	heat shock protein family A (Hsp70) member 8	-0.908	3.665
79827	CLMP	CXADR like membrane protein	1.575	3.645
55800	SCN3B	sodium voltage-gated channel beta subunit 3	0.823	2.993
53340	SPA17	sperm autoantigenic protein 17	-0.545	1.665
23584	VSIG2	V-set and immunoglobulin domain containing 2	-0.677	1.594
1111	CHEK1	checkpoint kinase 1	-0.94	10.154
219844	HYLS1	HYLS1 centriolar and ciliogenesis associated	-0.628	2.771
29118	DDX25	DEAD-box helicase 25	1.516	4.04
50937	CDON	cell adhesion associated, oncogene regulated	0.986	6.819
55572	FOXRED1	FAD dependent oxidoreductase domain containing 1	-0.535	4.144
399975	LOC399975	uncharacterized LOC399975	-0.783	8.779
120224	TMEM45B	transmembrane protein 45B	-2.318	15.239
6768	ST14	ST14 transmembrane serine protease matriptase	-0.767	4.441
29068	ZBTB44	zinc finger and BTB domain containing 44	0.734	4.102
11095	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	1.094	3.158
170689	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	1.07	2.095
103611081	LOC103611081	replaced by ID 399979	0.649	1.767
50863	NTM	neurotrimin	0.971	5.127
283174	MIR4697HG	replaced by ID 22997	0.986	3.305
83700	JAM3	junctional adhesion molecule 3	0.646	7.256
27034	ACAD8	acyl-CoA dehydrogenase family member 8	0.613	1.36
112937	GLB1L3	galactosidase beta 1 like 3	-1.548	9.179
100049716	NINJ2-AS1	NINJ2 antisense RNA 1	0.655	2.459
65125	WNK1	WNK lysine deficient protein kinase 1	0.544	2.274
79602	ADIPOR2	adiponectin receptor 2	-0.662	5.984
83714	NRIP2	nuclear receptor interacting protein 2	0.59	1.801
2305	FOXM1	forkhead box M1	-1.092	7.226
7004	TEAD4	TEA domain transcription factor 4	-0.956	6.553
84766	CRACR2A	calcium release activated channel regulator 2A	1.119	2.608
57103	TIGAR	TP53 induced glycolysis regulatory phosphatase	-1.305	11.935
57102	C12orf4	chromosome 12 open reading frame 4	-0.932	6.305
10635	RAD51AP1	RAD51 associated protein 1	-1.352	13.009
8798	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	-0.564	3.035
4704	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	-0.652	2.201
3742	KCNA6	potassium voltage-gated channel subfamily A member 6	1.317	4.043
55200	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6	0.775	3.71
4055	LTBR	lymphotoxin beta receptor	-0.514	5.661
51258	MRPL51	mitochondrial ribosomal protein L51	-0.99	3.885
2597	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	-0.707	4.557
4839	NOP2	NOP2 nucleolar protein	-0.514	2.692
3902	LAG3	lymphocyte activating 3	-1.771	6.703
10536	P3H3	prolyl 3-hydroxylase 3	0.549	2.573
83461	CDCA3	cell division cycle associated 3	-0.973	9.888
7167	TPI1	triosephosphate isomerase 1	-0.783	5.417
2026	ENO2	enolase 2	0.685	3.794
105369635	MIR200CHG	MIR200C and MIR141 host gene	0.756	2.007
677777	SCARNA12	small Cajal body-specific RNA 12	-1.222	2.94
10162	LPCAT3	lysophosphatidylcholine acyltransferase 3	0.694	1.957
716	C1S	complement C1s	-0.599	2.601
715	C1R	complement C1r	-0.585	2.745
9746	CLSTN3	calsyntenin 3	1.22	2.63
144195	SLC2A14	solute carrier family 2 member 14	1.794	1.617
6515	SLC2A3	solute carrier family 2 member 3	-1.101	3.91
719	C3AR1	complement C3a receptor 1	-0.603	1.459
50856	CLEC4A	C-type lectin domain family 4 member A	-0.756	2.67
440078	FAM66C	family with sequence similarity 66 member C	0.515	1.877
26253	CLEC4E	C-type lectin domain family 4 member E	-2.214	5.976
144568	A2ML1	alpha-2-macroglobulin like 1	-2.222	10.437
10219	KLRG1	killer cell lectin like receptor G1	-0.896	2.817
100422872	MIR1244-3	microRNA 1244-3	-0.588	1.53
3820	KLRB1	killer cell lectin like receptor B1	-1.237	4.185
107987174	LOC107987174		-1.189	5.415
29121	CLEC2D	C-type lectin domain family 2 member D	-0.66	2.517
160365	CLECL1P	C-type lectin like 1, pseudogene	-0.951	2.779
969	CD69	CD69 molecule	-1.234	3.775
9976	CLEC2B	C-type lectin domain family 2 member B	-1.035	2.409
100431172	KLRF2	killer cell lectin like receptor F2	1.303	1.737
283420	CLEC9A	C-type lectin domain containing 9A	-1.357	5.006
64581	CLEC7A	C-type lectin domain containing 7A	-2.457	29.477
23710	GABARAPL1	GABA type A receptor associated protein like 1	0.966	10.162
3824	KLRD1	killer cell lectin like receptor D1	-1.497	6.176
101928100	KLRK1-AS1	KLRK1 antisense RNA 1	-1.875	8.92
100528032	KLRC4-KLRK1	KLRC4-KLRK1 readthrough	-1.259	5.304
22914	KLRK1	killer cell lectin like receptor K1	-1.332	5.881
55110	MAGOHB	mago homolog B, exon junction complex subunit	-0.858	3.253
55359	STYK1	serine/threonine/tyrosine kinase 1	-1.339	10.135
338817	LINC01252	long intergenic non-protein coding RNA 1252	1.074	1.489
4040	LRP6	LDL receptor related protein 6	0.683	4.367
80824	DUSP16	dual specificity phosphatase 16	0.551	1.304
9052	GPRC5A	G protein-coupled receptor class C group 5 member A	0.983	2.542
57613	FAM234B	family with sequence similarity 234 member B	1.925	11.278
79887	PLBD1	phospholipase B domain containing 1	-2.411	21.981
101928317	LOC101928317	uncharacterized LOC101928317	-2.356	17.413
101928290	PLBD1-AS1	PLBD1 antisense RNA 1	-1.836	10.375
144608	C12orf60	chromosome 12 open reading frame 60	-0.813	2.766
2984	GUCY2C	guanylate cyclase 2C	-0.765	2.39
55766	H2AJ	H2A.J histone	-0.785	2.327
121506	ERP27	endoplasmic reticulum protein 27	-1.229	2.979
397	ARHGDIB	Rho GDP dissociation inhibitor beta	-0.806	5.127
11171	STRAP	serine/threonine kinase receptor associated protein	-0.518	2.326
4257	MGST1	microsomal glutathione S-transferase 1	1.716	2.325
55885	LMO3	LIM domain only 3	0.851	1.909
5288	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	0.99	4.475
89869	PLCZ1	phospholipase C zeta 1	1.347	2.597
51026	GOLT1B	golgi transport 1B	-0.613	2.193
10060	ABCC9	ATP binding cassette subfamily C member 9	0.694	2.397
6660	SOX5	SRY-box transcription factor 5	1.523	7.853
55259	DNAI7	dynein axonemal intermediate chain 7	0.848	2.253
11228	RASSF8	Ras association domain family member 8	0.732	4.571
79365	BHLHE41	basic helix-loop-helix family member e41	1.026	6.862
8082	SSPN	sarcospan	0.859	5.401
3709	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	0.621	2.52
55726	INTS13	integrator complex subunit 13	-0.842	6.318
9412	MED21	mediator complex subunit 21	-0.714	2.261
23012	STK38L	serine/threonine kinase 38 like	-0.534	3.431
56938	BMAL2	basic helix-loop-helix ARNT like 2	-2.229	33.341
101928646	BMAL2-AS1	BMAL2 antisense RNA 1	-2.409	24.442
8496	PPFIBP1	PPFIA binding protein 1	0.569	5.714
729291	LOC729291	uncharacterized LOC729291	0.517	3.799
101928705	LOC101928705		0.789	3.722
55711	FAR2	fatty acyl-CoA reductase 2	2.537	2.992
100506606	LOC100506606	uncharacterized LOC100506606	2.457	4.449
83857	TMTC1	transmembrane O-mannosyltransferase targeting cadherins 1	0.677	4.627
144203	OVOS2	alpha-2-macroglobulin like 1 pseudogene	-1.454	3.475
58516	SINHCAF	SIN3-HDAC complex associated factor	-0.547	2.936
160518	DENND5B	DENN domain containing 5B	0.648	3.79
440093	H3-5	H3.5 histone	-0.63	1.752
121512	FGD4	FYVE, RhoGEF and PH domain containing 4	0.523	2.869
5318	PKP2	plakophilin 2	0.878	3.778
55605	KIF21A	kinesin family member 21A	0.802	6.004
114134	SLC2A13	solute carrier family 2 member 13	0.546	3.137
1272	CNTN1	contactin 1	0.578	1.876
29951	PDZRN4	PDZ domain containing ring finger 4	1.301	2.869
10138	YAF2	YY1 associated factor 2	-0.585	1.794
83448	PUS7L	pseudouridine synthase 7 like	-0.525	5.082
5756	TWF1	twinfilin actin binding protein 1	-1.169	6.147
84216	TMEM117	transmembrane protein 117	-1.098	13.578
91523	PCED1B	PC-esterase domain containing 1B	-0.528	2.002
100233209	PCED1B-AS1	PCED1B antisense RNA 1	-1.294	7.073
10411	RAPGEF3	Rap guanine nucleotide exchange factor 3	0.633	1.709
55652	SLC48A1	solute carrier family 48 member 1	0.557	8.706
79022	TMEM106C	transmembrane protein 106C	-0.682	2.096
121273	C12orf54	chromosome 12 open reading frame 54	-1.62	3.879
54934	KANSL2	KAT8 regulatory NSL complex subunit 2	-0.596	2.996
255411	TEX49	testis expressed 49	0.576	1.628
112	ADCY6	adenylate cyclase 6	0.69	2.06
27289	RND1	Rho family GTPase 1	-3.902	22.041
51303	FKBP11	FKBP prolyl isomerase 11	-0.732	6.679
5571	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1	-0.569	2.184
84790	TUBA1C	tubulin alpha 1c	-1.397	8.981
101927267	TROAP-AS1	TROAP and PRPH antisense RNA 1	-1.087	3.077
10024	TROAP	trophinin associated protein	-1.652	9.901
79962	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	0.755	1.305
105369764	LOC105369764	uncharacterized LOC105369764	1.436	1.734
29127	RACGAP1	Rac GTPase activating protein 1	-0.956	7.825
41	ASIC1	acid sensing ion channel subunit 1	0.505	1.508
2819	GPD1	glycerol-3-phosphate dehydrogenase 1	1.87	3.028
84987	COX14	cytochrome c oxidase assembly factor COX14	-0.644	1.74
25875	LETMD1	LETM1 domain containing 1	0.706	5.069
5463	POU6F1	POU class 6 homeobox 1	0.689	4.225
57228	SMAGP	small cell adhesion glycoprotein	-0.934	7.307
102723983	LOC102723983		-0.949	3.486
51411	BIN2	bridging integrator 2	-0.808	4.723
11226	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	-1.674	13.914
6334	SCN8A	sodium voltage-gated channel alpha subunit 8	1.247	1.797
401720	FIGNL2	fidgetin like 2	1.412	4.306
112268096	LOC112268096	uncharacterized LOC112268096	2.3	7.155
144501	KRT80	keratin 80	-0.796	2.036
283404	LINC00592	long intergenic non-protein coding RNA 592	-1.579	4.339
3855	KRT7	keratin 7	1.231	2.035
109729127	KRT7-AS	KRT7 antisense RNA 1	1.165	1.819
3892	KRT86	keratin 86	1.807	1.759
3887	KRT81	keratin 81	2.596	2.598
3854	KRT6B	keratin 6B	-1.709	4.243
286887	KRT6C	keratin 6C	-3.548	17.437
3853	KRT6A	keratin 6A	-2.98	14.966
374454	KRT77	keratin 77	2.902	18.134
3851	KRT4	keratin 4	3.168	9.481
338785	KRT79	keratin 79	2.098	2.153
196374	KRT78	keratin 78	-1.557	6.695
3856	KRT8	keratin 8	1.285	2.808
113218482	MIR9898	microRNA 9898	1.276	2.221
3875	KRT18	keratin 18	1.008	2.166
283335	TNS2-AS1	TNS2 antisense RNA 1	0.872	3.611
23371	TNS2	tensin 2	0.893	4.926
3489	IGFBP6	insulin like growth factor binding protein 6	0.849	2.192
9700	ESPL1	extra spindle pole bodies like 1, separase	-0.63	1.992
6895	TARBP2	TARBP2 subunit of RISC loading complex	-0.81	5.202
100652999	LOC100652999	uncharacterized LOC100652999	0.634	3.681
100874363	HOXC-AS1	HOXC cluster antisense RNA 1	0.57	2.015
